Count,Name,Foil,Edition,Condition,Language,MKM Price
2,"""+2 Mace""",,Adventures in the Forgotten Realms,NM,English,
1,"Aaron, Benalia's Ruin",,Dominaria United,NM,English,
5,Abandon the Post,,Innistrad Midnight Hunt,NM,English,
1,Aberrant Mind Sorcerer,,Adventures in the Forgotten Realms,NM,English,
1,Abzan Falconer,,Commander 2016,NM,English,
1,Academic Dispute,,Strixhaven: School of Mages,NM,English,
1,Academy Drake,,Dominaria,NM,English,
1,Academy Manufactor,foil,Modern Horizons 2 Promos,NM,English,
1,Academy Manufactor,foil,Modern Horizons 2 Promos,NM,English,
3,Academy Wall,,Dominaria United,NM,English,
1,Acolyte of the Inferno,,Magic Origins,SP,English,
3,Adamant Will,,Innistrad: Crimson Vow,NM,English,
1,Adaptive Shimmerer,,Ikoria: Lair of Behemoths,NM,English,
1,Advent of the Wurm,foil,Dragon's Maze,NM,English,
4,Adventurous Impulse,,Ikoria: Lair of Behemoths,NM,English,
1,"Aegar, the Freezing Flame (Showcase)",,Kaldheim,NM,English,
2,Aegis Turtle,,Ikoria: Lair of Behemoths,NM,English,
1,Aerial Assault,,Core Set 2020,NM,English,
1,Aerial Guide,,Hour of Devastation,NM,English,
1,Aeromoeba (Retro Frame),,Modern Horizons 2,NM,English,
1,Aether Adept,,Magic 2011,NM,English,
1,Aetherize,,Commander 2015,NM,English,
1,Aethersworn Adjudicator,,Commander 2016,NM,English,
3,Ageless Guardian,,Strixhaven: School of Mages,NM,English,
2,Aggressive Sabotage,,Dominaria United,NM,English,
3,Ahn-Crop Invader,,War of the Spark,NM,English,
2,Aid the Fallen,,War of the Spark,NM,English,
1,Aid the Fallen,,War of the Spark,NM,English,
1,Aim High,,Shadows Over Innistrad,NM,English,
1,Air Elemental,,Core Set 2020,NM,English,
1,Air-Cult Elemental,,Adventures in the Forgotten Realms,NM,English,
1,"Ajani, Mentor of Heroes",,Journey Into Nyx,NM,English,
1,"Ajani, the Greathearted",,War of the Spark,NM,English,
1,Akki Ember-Keeper,,Kamigawa: Neon Dynasty,NM,English,
1,Akoum Hellhound (Showcase),,Zendikar Rising,NM,English,
1,Akoum Warrior // Akoum Teeth,,Zendikar Rising,NM,English,
1,Algae Gharial,,Modern Masters 2015,NM,English,
1,Allied Assault,,Zendikar Rising,NM,English,
3,Almighty Brushwagg,,Ikoria: Lair of Behemoths,NM,English,
1,Alpine Guide,,Modern Horizons,NM,English,
1,Amass the Components,foil,Iconic Masters,NM,English,
1,Ambitious Assault,,Kamigawa: Neon Dynasty,NM,English,
3,Amorphous Axe,,Modern Horizons,NM,English,
1,Ancestral Katana,,Kamigawa: Neon Dynasty,NM,English,
1,Angel of Deliverance,,Launch Party Cards,NM,English,
1,Angel of Renewal,foil,Battle for Zendikar,NM,English,
1,Angel of Suffering,,Streets of New Capenna,NM,English,
1,Angelic Observer,,Streets of New Capenna,NM,English,
1,"Angrath, the Flame-Chained",,Rivals of Ixalan,SP,English,
1,Animus of Predation,,Conspiracy: Take the Crown,NM,English,
1,Ankle Shanker,foil,Khans of Tarkir,NM,English,
1,Annul,,Kaldheim,NM,English,
1,Answered Prayers,,Modern Horizons,NM,English,
1,Answered Prayers,,Modern Horizons,NM,English,
2,Anticipate,,Ikoria: Lair of Behemoths,NM,English,
1,Anticognition,,Zendikar Rising,NM,English,
